,assay_id,validity,diversity,diversity_std,similarity,similarity_std,success_rate,success_rate_std
0,CHEMBL1119333,0.7703349282296651,0.9204081632653061,0.012116675599018314,0.5813425610071551,0.0026560238512114377,0.25741626794258377,0.013667805604866691
1,CHEMBL1614027,0.7465223562810503,0.9434200743494424,0.0034144126403583834,0.5630141724869513,0.0014820572919029018,0.2513839602555003,0.004326401889035675
2,CHEMBL1614423,0.755030487804878,0.9996677740863789,0.0009966777408637938,0.5699067545451639,0.0023158268517194545,0.10701219512195122,0.008454527209671981
3,CHEMBL1738485,0.801,0.9825174825174825,0.007165699836335401,0.5978742005861435,0.004344068285751428,0.136,0.0233238075793812
4,CHEMBL1963715,0.561121157323689,0.9587982832618025,0.0065652611762997085,0.6901677395506017,0.001985480133827655,0.08806509945750453,0.003710358865946327
5,CHEMBL1963723,0.5374463519313305,0.9657701711491443,0.005988972476242499,0.7073343526281233,0.003280119699099421,0.23454935622317596,0.007916681006736788
6,CHEMBL1963731,0.5377551020408163,0.957738095238095,0.010878373144343489,0.7148725939807947,0.0037397746867292208,0.1959183673469388,0.00568139220696941
7,CHEMBL1963741,0.5605314960629921,0.9639455782312926,0.00531309501762357,0.6885487545252632,0.002759744744271052,0.10059055118110236,0.004777425629728976
8,CHEMBL1963756,0.5689616252821671,0.9564986737400529,0.00752119197812087,0.699755491261134,0.003954085523211248,0.13498871331828444,0.00532272059708876
9,CHEMBL1963810,0.5365994236311239,0.9569965870307169,0.008387853738869988,0.6997278626767157,0.002584800042048433,0.0936599423631124,0.002656929238412937
10,CHEMBL1963818,0.5456845238095238,0.9745583038869258,0.006477138791457025,0.6861743268218243,0.003867715194313953,0.4104166666666667,0.011863768707139725
11,CHEMBL1963819,0.5654736842105264,0.9551558752997602,0.00670176911869646,0.7050860345355756,0.0026597050812940917,0.0865263157894737,0.0035789473684210544
12,CHEMBL1963824,0.6030434782608696,0.9824120603015076,0.005618261249999466,0.6526711557152972,0.004655358751384712,0.1,0.005833220810869014
13,CHEMBL1963825,0.6067567567567568,0.9806282722513089,0.004712041884816756,0.6601932354082876,0.006359315701081899,0.22207207207207208,0.009020263240766123
14,CHEMBL1963827,0.5686084142394822,0.9640740740740741,0.007777777777777781,0.6918062498900328,0.002905069356721824,0.13203883495145632,0.008032151227178552
15,CHEMBL1963831,0.6096234309623431,0.9843601895734595,0.005627650278217014,0.6624294895297874,0.0033550545596278355,0.21046025104602512,0.015548873787499619
16,CHEMBL1964101,0.5853238866396762,0.9688787185354689,0.005984758274884201,0.6857610492656345,0.003868138371546373,0.24757085020242914,0.0033933308935708917
17,CHEMBL1964115,0.6466666666666666,0.9789772727272726,0.007209419057073588,0.6518839972886868,0.005149242846954797,0.3558974358974359,0.009230769230769228
18,CHEMBL3214944,0.701551724137931,0.991732283464567,0.0041103568932718635,0.5260467121904799,0.002425397924465585,0.3572413793103449,0.011764635937401364
19,CHEMBL3431930,0.836864406779661,0.858849557522124,0.011444705448121754,0.6904341310831966,0.0023555745797628285,0.15,0.0028106989748774625
20,CHEMBL3431932,0.8390829694323144,0.8719457013574662,0.009923851673964399,0.6797468895071839,0.0023289563224268123,0.049344978165938864,0.004803493449781659
